------------------------------------------------
Job ID: 33534000
Run on host: compg009.hpc.in.bmrc.ox.ac.uk
Operating system: Linux
Username: lhw539
Started at: Thu Jan 21 01:26:26 GMT 2021
------------------------------------------------
Number of GPUs:  1
Succesfully loaded OASIS train data.
Succesfully loaded OASIS   val data.

Start training.
----------------------------------------------------------------------------------------------------------------------
2021-01-21 01:26:32.514488
|epoch:  37 | lr: 0.004 |train loss: 1.69725 |train loss ravg: 1.86120 |train MAE:  4.54394 |train MAE ravg:  5.31733 |val loss: 3.88742 |val loss ravg: 2.56589 |val MAE:  7.73798 |val MAE ravg:  7.14691 |
|epoch:  38 | lr: 0.004 |train loss: 1.76726 |train loss ravg: 1.85154 |train MAE:  4.92017 |train MAE ravg:  5.28075 |val loss: 2.16252 |val loss ravg: 2.56068 |val MAE:  5.75133 |val MAE ravg:  7.09256 |
|epoch:  39 | lr: 0.004 |train loss: 1.73382 |train loss ravg: 1.84158 |train MAE:  4.88952 |train MAE ravg:  5.24690 |val loss: 2.03627 |val loss ravg: 2.50920 |val MAE:  6.52931 |val MAE ravg:  7.02869 |
|epoch:  40 | lr: 0.004 |train loss: 1.73692 |train loss ravg: 1.83047 |train MAE:  4.99032 |train MAE ravg:  5.20985 |val loss: 3.65508 |val loss ravg: 2.56892 |val MAE:  6.93241 |val MAE ravg:  7.01203 |
|epoch:  41 | lr: 0.004 |train loss: 1.67521 |train loss ravg: 1.81730 |train MAE:  4.73052 |train MAE ravg:  5.16400 |val loss: 2.54119 |val loss ravg: 2.58451 |val MAE:  9.00986 |val MAE ravg:  7.05607 |
|epoch:  42 | lr: 0.004 |train loss: 1.68752 |train loss ravg: 1.80588 |train MAE:  4.77217 |train MAE ravg:  5.12160 |val loss: 2.25033 |val loss ravg: 2.55918 |val MAE:  5.99738 |val MAE ravg:  6.98146 |
|epoch:  43 | lr: 0.004 |train loss: 1.70876 |train loss ravg: 1.79751 |train MAE:  4.72088 |train MAE ravg:  5.08628 |val loss: 6.17309 |val loss ravg: 2.76048 |val MAE:  7.00560 |val MAE ravg:  6.99923 |
|epoch:  44 | lr: 0.003 |train loss: 1.65552 |train loss ravg: 1.78441 |train MAE:  4.66901 |train MAE ravg:  5.04202 |val loss: 2.80899 |val loss ravg: 2.78288 |val MAE:  6.41020 |val MAE ravg:  6.99850 |
|epoch:  45 | lr: 0.003 |train loss: 1.68385 |train loss ravg: 1.77431 |train MAE:  4.76923 |train MAE ravg:  5.00938 |val loss: 2.99671 |val loss ravg: 2.80662 |val MAE:  6.51508 |val MAE ravg:  6.95861 |
|epoch:  46 | lr: 0.003 |train loss: 1.64485 |train loss ravg: 1.76062 |train MAE:  4.77236 |train MAE ravg:  4.96884 |val loss: 2.09711 |val loss ravg: 2.80151 |val MAE:  5.83641 |val MAE ravg:  6.92183 |
